algorithm,date,iteration,seed,size
RLS12,20211123140001_037,5001,16376724008445180,20
RLS12,20211123140009_549,113213,16376724010604710,40
RLS12,20211123140347_715,25640,16376726256619390,40
RLS12,20211123140644_388,97607,16376727900993490,60
RLS12,20211123140700_186,88872,16376728118590930,20
RLS12,20211123140806_692,165175,16376728635452600,60
RLS12,20211123141220_549,266670,16376731084788250,60
RLS12,20211123141352_892,48074,16376732283451100,20
RLS12,20211123141359_129,68375,16376732329113842,20
RLS12,20211123141428_991,247696,16376732391299630,60
RLS12,20211123141448_92,7385,16376732887019538,10
RLS12,20211123141845_153,3226,16376735250760068,10
RLS12,20211123142140_641,61887,16376736961607640,40
RLS12,20211123142432_249,27437,16376738707709160,15
RLS12,20211123142432_318,2546,16376738722504252,10
RLS12,20211123142438_097,22505,16376738769228900,15
RLS12,20211123142718_707,328776,16376739989432780,60
RLS12,20211123142835_73,2079,16376741156705720,10
RLS12,20211123142954_71,86059,16376741872936750,20
RLS12,20211123142956_772,28722,16376741947115640,40
RLS12,20211123143154_058,32160,16376743123722438,15
RLS12,20211123143155_963,36103,16376743140605220,15
RLS12,20211123143203_294,61347,16376743175949950,20
RLS12,20211123143204_929,3775,16376743248173900,20
RLS12,20211123143221_891,6230,16376743417195930,10
RLS12,20211123143421_776,16815,16376744611595090,20
RLS12,20211123143533_792,9696,16376745334469500,20
RLS12,20211123143648_762,10115,16376746082071240,15
RLS12,20211123143709_722,24253,16376746287311120,20
RLS12,20220308094907_087,18827,16467293444628220,24
RLS12,20220308095207_161,90461,16467295197410460,36
RLS12,20220308095532_825,162441,16467297103376410,48
RLS12,20220308095712_269,518453,16467297335019810,60
RLS12,20220308100546_169,7356,16467303458369328,20
RLS12,20220308100546_408,125,16467303464072390,9
RLS12,20220308101145_219,63370,16467307009117032,40
RLS12,20220308101211_601,175,16467307315993820,10
RLS12,20220308101223_034,22883,16467307419116290,30
RLS12,20220308101223_305,7989,16467307430348660,20
RLS12,20220308101223_307,79,16467307433067420,9
RLS12,20220308101224_118,6036,16467307439380792,20
RLS12,20220308102114_892,358,16467312748845410,10
RLS12,20220308102133_497,81215,16467312871602830,40
RLS12,20220308102218_55,2075,16467313385013240,20
RLS12,20220308102219_874,24996,16467313385542728,30
RLS12,20220308102228_08,502,16467313480719640,9
RLS12,20220308102228_929,5061,16467313487375268,20
RLS12,20220308103229_685,45096,16467319467837140,30
RLS12,20220308103232_97,40152,16467319496866168,40
RLS12,20220308103242_162,555,16467319621529520,10
RLS12,20220308103249_557,1588,16467319695324740,10
RLS12,20220308103258_133,116927,16467319696034550,40
RLS12,20220308103318_463,22495,16467319972027950,30
RLS12,20220308103319_986,9745,16467319994772100,30
RLS12,20220308103359_68,521,16467320396743090,10
RLS12,20220308103359_845,4430,16467320396812990,20
RLS12,20220308103420_525,16086,16467320596618890,30
RLS12,20220308103548_32,1400,16467321482989440,10
RLS12,20220308103557_066,22489,16467321549244918,40
RLS12,20220308103647_123,657,16467322071142408,10
RLS12,20220308103647_355,5110,16467322071246250,20
RLS12,20220308103708_985,3455,16467322288745200,20
RLS12,20220308103752_144,11520,16467322716168410,30
RLS12,20220308103752_714,15181,16467322721456880,20
RLS12,20220308103755_728,3228,16467322756298210,20
RLS12,20220308103927_2,128039,16467323562339808,40
RLS12,20220308103932_151,64577,16467323672017110,40
